0	0
1	1
2	1
5	0
6	1
8	1
10	1
12	0
14	1
15	1
17	1
18	1
20	1
21	1
22	1
27	1
30	1
31	1
34	1
35	1
37	0
38	1
39	1
40	1
45	0
46	1
48	1
49	1
50	1
51	0
52	1
54	1
55	1
60	0
62	1
64	1
65	1
66	1
68	1
71	1
74	1
75	0
76	0
77	0
78	1
79	1
81	1
85	1
89	0
90	0
92	1
96	1
97	1
100	1
101	0
102	1
103	0
104	0
105	0
107	0
108	0
109	1
113	1
116	0
118	1
122	1
124	1
127	0
132	1
133	1
140	1
141	1
142	1
144	1
145	1
150	1
154	0
155	1
156	1
157	0
158	0
159	1
161	1
162	0
165	1
167	1
170	1
171	1
172	1
173	0
175	0
178	1
179	0
181	1
185	1
187	1
188	1
190	1
193	1
194	1
196	0
198	1
200	1
202	0
204	0
205	1
206	1
208	1
210	0
211	1
214	0
215	1
218	1
220	0
222	0
223	0
229	1
230	1
231	0
233	1
235	1
236	1
238	1
239	1
240	1
241	1
242	1
243	0
245	1
247	1
249	1
250	0
251	1
252	1
253	1
255	1
258	1
261	1
262	1
263	0
264	1
266	1
267	0
268	1
270	1
271	0
272	1
278	1
279	1
283	0
285	0
293	1
294	0
298	1
299	1
301	1
302	0
303	1
304	0
306	1
308	1
309	1
310	1
311	1
312	1
313	0
315	1
316	1
317	1
318	1
319	1
320	0
327	1
331	1
333	1
334	1
337	1
338	0
342	1
344	1
345	1
346	1
350	1
351	1
352	0
354	0
356	1
358	1
361	1
362	1
363	0
364	1
366	1
367	1
372	0
374	1
375	1
378	0
379	0
380	1
382	0
384	0
386	1
389	1
390	1
391	0
392	0
395	0
397	1
399	1
401	0
402	1
403	1
406	0
408	0
409	1
412	1
413	0
416	1
418	1
420	0
422	0
424	1
425	0
428	0
432	1
434	1
436	1
439	1
440	1
441	1
443	1
447	1
451	1
452	1
453	1
456	1
457	1
458	1
460	1
462	1
465	0
467	1
471	0
474	1
475	1
476	1
477	0
479	1
481	0
482	0
483	1
484	1
485	1
487	1
489	1
491	0
492	1
493	1
494	0
495	1
496	1
500	0
501	1
503	1
505	1
506	1
511	0
513	1
516	1
518	1
519	0
520	1
521	0
522	0
523	1
524	0
526	1
527	1
529	1
530	1
531	0
532	0
533	1
535	1
538	1
542	1
545	1
549	1
553	0
557	1
558	1
561	0
563	0
564	1
566	0
567	1
570	1
572	1
573	1
578	1
580	1
583	1
585	1
587	1
588	0
592	0
596	1
597	0
603	0
609	1
612	1
614	0
615	1
618	1
619	1
620	1
625	1
626	1
627	1
631	0
632	1
634	1
635	1
638	1
642	1
643	1
644	1
646	0
647	1
648	0
650	0
652	0
653	1
654	1
655	1
656	0
657	1
658	1
666	1
669	1
671	1
672	1
674	0
676	0
678	1
680	1
681	1
683	1
686	1
688	0
693	0
694	1
695	1
698	1
700	1
701	1
704	0
706	1
708	1
710	1
712	1
713	1
715	0
718	1
720	1
722	1
724	1
725	0
726	1
727	1
728	1
731	1
735	1
738	0
740	1
742	1
744	0
750	1
752	1
753	0
760	1
761	0
762	0
764	0
766	1
768	1
769	0
771	0
778	0
780	1
782	1
784	0
785	0
786	1
787	1
788	1
796	1
799	1
800	1
803	0
806	0
807	1
808	1
810	0
811	1
813	1
815	0
816	1
817	1
818	0
819	1
820	1
822	0
823	1
825	0
827	1
832	0
833	0
837	0
838	1
839	1
841	1
843	0
848	1
851	0
852	1
857	1
859	0
862	1
864	1
866	1
870	0
875	1
876	1
877	0
878	0
880	1
881	0
882	1
883	1
885	1
886	1
887	1
889	1
890	0
